name,id
Ridge Quad,20061420
Catamount Double,32504932
Meadows Triple,170831073
,170831074
,185230703
,185246881
,185246885
,185246888
,185246891
,185246896
,185246899
,185246901
,185246906
,185246910
,185246912
,185246917
,185246919
,185246920
,185246921
,185246922
,185246923
,185246924
,185246925
,185246926
,185246927
,185246928
,185246929
,185246930
,185246931
,185246932
,185246933
,185246934
,185246936
,185246937
,185246938
,185246939
,185246942
,185246950
,185246951
,185246958
Promenade Triple,895351677
Fisher's Fluke,895351678
Lauren's Run,895351679
Echo's Run,895351680
